Anemone ID,Fish Photo,Fish Length,Count,Egg Mass Photo,LengthxWidth,Area,Color,Age
2002,33,10.151,491,30,9.971x3.576,25.852,Brown,Old
2464,71,9.589,479,68,4.631x4.346,15.46,Red,Young
?,154,8.242,590,144,4.117x2.656,7.657,Red,Young
?,190,9.398,586,188,3.983x2.739,7.327,Red,Young
2319,261,8.748,305,253,2.247x5.057,7.82,Silver,Old
1024,42,11.424,679,38,6.249x5.636,26.105,Brown,Old
?,182,10.223,683,173,3.994x6.093,17.962,Red,Young
?,199,8.299,387,195,3.489x2.909,7.733,Red,Young
?,167,7.935,720,157,5.866x3.934,17.154,Brown,Old
2271,141,7.821,427,136,3.911x3.359,9.284,Red,Young
