Anemone ID,Fish Photo,Fish Length,Egg Mass Photo,Color,Area,Count,NolCount,Count Dif,PercDif,Age,Eye,Site,Fish.LengthOBS,Difference,Index
2464,71,9.589,68,Red,15.46,479,525,-46,0.096033403,Young,No,Wangag,10.3,-0.711,1
?,154,8.242,144,Red,7.657,590,729,-139,0.23559322,Young,No,Gabas,9.3,-1.058,2
?,190,9.398,188,Red,7.327,586,456,130,0.221843003,Young,No,Wangag,9.5,-0.102,3
2319,261,8.748,253,Silver,7.82,305,246,59,0.193442623,Old,Yes,Poroc San Flower,8.5,0.248,4
1024,42,11.424,38,Brown,26.105,679,703,-24,0.035346097,Old,No,Palanas,11.9,-0.476,5
2313,182,10.223,173,Red,17.962,683,656,27,0.039531479,Young,No,Visca,11.3,-1.077,6
?,199,8.299,195,Red,7.733,387,482,-95,0.245478036,Young,No,Wangag,9.4,-1.101,7
?,167,7.935,157,Brown,17.154,720,729,-9,0.0125,Old,No,Visca,9.2,-1.265,8
2271,141,7.821,136,Red,9.284,427,358,69,0.161592506,Young,No,Gabas,8,-0.179,9
2282,306,8.974,299,Red,7.168,688,330,358,0.520348837,Young,No,Palanas,10.7,-1.726,10
?,83,9.04,84,Silver,3.85,169,160,9,0.053254438,Old,Yes,Palanas,10.4,-1.36,11
?,345,10.152,347,Red,13.929,655,473,182,0.277862595,Young,No,Palanas,11.4,-1.248,12
?,90,9.977,92,Red,11.491,414,578,-164,0.396135266,Young,No,Palanas,10.9,-0.923,13
2310,MICR0008 16,9.635,MICR0010 17,Purple,9.265,426,929,-503,1.180751174,Old,No,Sitio Baybayon,9.4,0.235,14
2968,MICR0103 1,9.625,MICR0033 21,Red,12.243,1102,1054,48,0.043557169,Young,No,Poroc Rose,8.7,0.925,15
2311,MICR0011 21,8.466,MICR0015 21,Purple,8.28,364,668,-304,0.835164835,Old,No,Sitio Baybayon,8.5,-0.034,16
3109,MICR0096 6,10.299,MICR0097 6,Red,13.865,1886,2023,-137,0.072640509,Young,No,Wangag,10.2,0.099,17
2816,MICR0029 6,11.762,MICR0030 7,Purple,29.172,904,947,-43,0.047566372,Old,Yes,Wangag,11.2,0.562,18
2299,MICR0020 17,9.227,MICR0022 17,Brown,11.66,851,760,91,0.10693302,Old,Yes,Sitio Baybayon,9.4,-0.173,19
2314,MICR0028 19,8.604,MICR0034 19,Silver,4.209,160,179,-19,0.11875,Old,Yes,Sitio Baybayon,8.6,0.004,20
2642,MICR0049 2,12.282,MICR0052 2,Brown,11.567,648,787,-139,0.214506173,Old,Yes,Palanas,11.4,0.882,21
2620,MICR0041 3,11.709,MICR0047 2,Brown,14.722,766,934,-168,0.219321149,Old,Yes,Palanas,11.7,0.009,22
2131,MICR0002 12,9.049,MICR0006 11,Red,9.811,1060,1128,-68,0.064150943,Young,No,Palanas,8.6,0.449,23
2671,MICR0016 21,9.264,MICR0021 20,Brown,8.277,670,1061,-391,0.58358209,Old,Yes,Sitio Baybayon,9.3,-0.036,24
2203,MICR0091 7,10.849,MICR0094 6,Red,3.983,351,128,223,0.635327635,Young,No,Wangag,11.1,-0.251,25
2795,f0171520,10.356,f0196352,Red,5.571,557,552,5,0.008976661,Young,No,Wangag,10.5,-0.144,26
