Anemone ID,Fish Photo,Fish Length,Egg Mass Photo,Color,Area,Count,Age,Eye,Site,Fish.LengthOBS,Difference
2464,71,9.589,68,Red,15.46,479,Young,No,Wangag,10.3,-0.711
?,154,8.242,144,Red,7.657,590,Young,No,Gabas,9.3,-1.058
?,190,9.398,188,Red,7.327,586,Young,No,Wangag,9.5,-0.102
2319,261,8.748,253,Silver,7.82,305,Old,Yes,Poroc San Flower,8.5,0.248
1024,42,11.424,38,Brown,26.105,679,Old,No,Palanas,11.9,-0.476
2313,182,10.223,173,Red,17.962,683,Young,No,Visca,11.3,-1.077
?,199,8.299,195,Red,7.733,387,Young,No,Wangag,9.4,-1.101
?,167,7.935,157,Brown,17.154,720,Old,No,Visca,9.2,-1.265
2271,141,7.821,136,Red,9.284,427,Young,No,Gabas,8,-0.179
2282,306,8.974,299,Red,7.168,688,Young,No,Palanas,10.7,-1.726
?,83,9.04,84,Silver,3.85,169,Old,Yes,Palanas,10.4,-1.36
?,345,10.152,347,Red,13.929,655,Young,No,Palanas,11.4,-1.248
?,90,9.977,92,Red,11.491,414,Young,No,Palanas,10.9,-0.923
2310,MICR0008 16,9.635,MICR0010 17,Purple,9.265,352,Old,No,Sitio Baybayon,9.4,0.235
2968,MICR0103 1,9.625,MICR0033 21,Red,12.243,1102,Young,No,Poroc Rose,8.7,0.925
2311,MICR0011 21,8.466,MICR0015 21,Purple,8.28,265,Old,No,Sitio Baybayon,8.5,-0.034
3109,MICR0096 6,10.299,MICR0097 6,Red,13.865,1886,Young,No,Wangag,10.2,0.099
2816,MICR0029 6,11.762,MICR0030 7,Purple,29.172,904,Old,Yes,Wangag,11.2,0.562
2299,MICR0020 17,9.227,MICR0022 17,Brown,11.66,851,Old,Yes,Sitio Baybayon,9.4,-0.173
2314,MICR0028 19,8.604,MICR0034 19,Silver,4.209,160,Old,Yes,Sitio Baybayon,8.6,0.004
2642,MICR0049 2,12.282,MICR0052 2,Brown,11.567,648,Old,Yes,Palanas,11.4,0.882
2620,MICR0041 3,11.709,MICR0047 2,Brown,14.722,766,Old,Yes,Palanas,11.7,0.009
2131,MICR0002 12,9.049,MICR0006 11,Red,9.811,1060,Young,No,Palanas,8.6,0.449
2671,MICR0016 21,9.264,MICR0021 20,Brown,8.277,670,Old,Yes,Sitio Baybayon,9.3,-0.036
2203,MICR0091 7,10.849,MICR0094 6,Red,3.983,351,Young,No,Wangag,11.1,-0.251
2795,f0171520,10.356,f0196352,Red,5.571,557,Young,No,Wangag,10.5,-0.144
,,,,,,,,,,2017 Avg,-0.887642857
,,,,,,,,,,2018 Avg,0.194384615
